Time,AnaR2,AnaR6,AnaR12,test,Ther_TG_1.0_8.0,UTSR6_TG_0.5_7.0,UTSR6_TG_0.5_7.5,UTSR12_TG_0.5_8.5,UTSR12_TG_0.5_9.0,UTSR2_TG_0.5_4.5,UTSR2_TG_0.5_5.0,XYLR6_TG_1.0_7.0,XYLR6_TG_2.0_7.0,XYLR9_TG_0.5_10.0,XYLR2_TG_0.5_10.0
6/07/2010,0.00000,0.00000,0.00,,-0.028819876,,,,,,,,,,
7/07/2010,,,,,-0.032173913,,,,,,,,,,
8/07/2010,,,,,-0.03068323,,,,,,,,,,
9/07/2010,,,,,-0.027639752,,,,,,,,,,
10/07/2010,,,,,-0.008136646,,,,,,,,,,
11/07/2010,,,,,0.05173913,,,,,,,,,,
12/07/2010,,,,,0.031801242,,,,,,,,,,
13/07/2010,0.00000,0.00000,0.00,,0.034409938,,,,,,,,,,
14/07/2010,,,,,-0.021925466,,,,,,,,,,
15/07/2010,,,,,-0.040621118,,,,,,,,,,
16/07/2010,,,,,-0.027888199,,,,,,,,,,
17/07/2010,,,,,-0.019937888,,,,,,,,,,
18/07/2010,,,,,-0.012111801,,,,,,,,,,
19/07/2010,,,,,-0.00552795,,,,,,,,,,
20/07/2010,0.00000,0.00000,0.00,,-0.031677019,,,,,,,,,,
21/07/2010,,,,,-0.046708075,,,,,,,,,,
22/07/2010,,,,,-0.049068323,,,,,,,,,,
23/07/2010,,,,,-0.033913043,,,,,,,,,,
24/07/2010,,,,,-0.038695652,,,,,,,,,,
25/07/2010,,,,,-0.026832298,,,,,,,,,,
26/07/2010,,,,,-0.026335404,,,,,,,,,,
27/07/2010,0.00000,0.00000,0.00,,-0.033229814,,,,,,,,,,
28/07/2010,,,,,-0.022546584,,,,,,,,,,
29/07/2010,,,,,-0.061242236,,,,,,,,,,
30/07/2010,,,,,-0.040372671,,,,,,,,,,
31/07/2010,,,,,-0.036273292,,,,,,,,,,
1/08/2010,,,,,-0.084906832,,,,,,,,,,
2/08/2010,,,,,-0.09515528,,,,,,,,,,
3/08/2010,0.00000,0.00000,0.00,,-0.090993789,,,,,,,,,,
4/08/2010,,,,,-0.077204969,,,,,,,,,,
5/08/2010,,,,,-0.081304348,,,,,,,,,,
6/08/2010,,,,,-0.073602484,,,,,,,,,,
7/08/2010,,,,,-0.063167702,,,,,,,,,,
8/08/2010,,,,,-0.030869565,,,,,,,,,,
9/08/2010,,,,,-0.018012422,,,,,,,,,,
10/08/2010,0.00000,0.00000,0.00,,0.009130435,,,,,,,,,,
